l,w,gds,id,fug,vgt,gm,gmoverid,vgs,vds,cgg,vth,vbs,cgs
9.000000000000001e-08,4.800000000000001e-07,0.0003999,0.0001058,26260000000.0,0.6641,0.0001164,1.101,1.2,0.2,7.056e-16,0.5359,0.0,-5.121e-16
9.000000000000001e-08,1e-06,0.0007878,0.0002083,24790000000.0,0.6552,0.0002285,1.097,1.2,0.2,1.467e-15,0.5448,0.0,-1.071e-15
9.000000000000001e-08,1.2000000000000002e-07,5.123e-11,3.072e-11,2856000.0,-0.4004,9.915e-10,32.29,0.1,0.3,5.524e-17,0.5004,0.0,-1.804e-17
9.000000000000001e-08,2.4000000000000003e-07,6.368e-11,3.683e-11,1712000.0,-0.4183,1.192e-09,32.37,0.1,0.3,1.108e-16,0.5183,0.0,-3.591e-17
9.000000000000001e-08,4.800000000000001e-07,8.522e-11,4.862e-11,1129000.0,-0.4324,1.576e-09,32.43,0.1,0.3,2.222e-16,0.5324,0.0,-7.169e-17
9.000000000000001e-08,1e-06,1.304e-10,7.368e-11,819000.0,-0.4413,2.386e-09,32.42,0.1,0.3,4.637e-16,0.5413,0.0,-1.493e-16
9.000000000000001e-08,1.2000000000000002e-07,1.205e-09,7.366e-10,63980000.0,-0.3004,2.279e-08,30.94,0.2,0.3,5.67e-17,0.5004,0.0,-2.097e-17
9.000000000000001e-08,2.4000000000000003e-07,1.533e-09,8.989e-10,40030000.0,-0.3183,2.813e-08,31.3,0.2,0.3,1.119e-16,0.5183,0.0,-3.983e-17
9.000000000000001e-08,4.800000000000001e-07,2.077e-09,1.198e-09,27040000.0,-0.3324,3.773e-08,31.49,0.2,0.3,2.221e-16,0.5324,0.0,-7.712e-17
9.000000000000001e-08,1e-06,3.193e-09,1.82e-09,19830000.0,-0.3413,5.748e-08,31.58,0.2,0.3,4.613e-16,0.5413,0.0,-1.581e-16
9.000000000000001e-08,1.2000000000000002e-07,2.038e-08,1.348e-08,830900000.0,-0.2004,3.572e-07,26.5,0.3,0.3,6.841e-17,0.5004,0.0,-3.553e-17
9.000000000000001e-08,2.4000000000000003e-07,2.825e-08,1.764e-08,595300000.0,-0.2183,4.865e-07,27.58,0.3,0.3,1.301e-16,0.5183,0.0,-6.346e-17
9.000000000000001e-08,4.800000000000001e-07,4.019e-08,2.446e-08,437500000.0,-0.2324,6.904e-07,28.22,0.3,0.3,2.511e-16,0.5324,0.0,-1.161e-16
9.000000000000001e-08,1e-06,6.369e-08,3.806e-08,338200000.0,-0.2413,1.09e-06,28.65,0.3,0.3,5.131e-16,0.5413,0.0,-2.293e-16
9.000000000000001e-08,1.2000000000000002e-07,1.797e-07,1.371e-07,4622000000.0,-0.1004,2.763e-06,20.14,0.4,0.3,9.512e-17,0.5004,0.0,-6.716e-17
9.000000000000001e-08,2.4000000000000003e-07,2.806e-07,2.011e-07,3777000000.0,-0.1183,4.24e-06,21.09,0.4,0.3,1.787e-16,0.5183,0.0,-1.225e-16
9.000000000000001e-08,4.800000000000001e-07,4.327e-07,3.003e-07,3061000000.0,-0.1324,6.535e-06,21.76,0.4,0.3,3.398e-16,0.5324,0.0,-2.253e-16
9.000000000000001e-08,1e-06,7.298e-07,4.943e-07,2561000000.0,-0.1413,1.104e-05,22.33,0.4,0.3,6.86e-16,0.5413,0.0,-4.432e-16
9.000000000000001e-08,1.2000000000000002e-07,9.38e-07,8.231e-07,16690000000.0,-0.0003922,1.303e-05,15.83,0.5,0.3,1.243e-16,0.5004,0.0,-1.012e-16
9.000000000000001e-08,2.4000000000000003e-07,1.57e-06,1.298e-06,14290000000.0,-0.01829,2.141e-05,16.5,0.5,0.3,2.385e-16,0.5183,0.0,-1.942e-16
9.000000000000001e-08,4.800000000000001e-07,2.547e-06,2.041e-06,11970000000.0,-0.03239,3.464e-05,16.97,0.5,0.3,4.605e-16,0.5324,0.0,-3.711e-16
9.000000000000001e-08,1e-06,4.469e-06,3.509e-06,10330000000.0,-0.04126,6.078e-05,17.32,0.5,0.3,9.366e-16,0.5413,0.0,-7.471e-16
9.000000000000001e-08,1.2000000000000002e-07,3.115e-06,3.168e-06,38990000000.0,0.09961,3.509e-05,11.08,0.6,0.3,1.432e-16,0.5004,0.0,-1.232e-16
9.000000000000001e-08,2.4000000000000003e-07,5.579e-06,5.38e-06,36090000000.0,0.08171,6.363e-05,11.83,0.6,0.3,2.806e-16,0.5183,0.0,-2.442e-16
9.000000000000001e-08,4.800000000000001e-07,9.566e-06,8.962e-06,32250000000.0,0.06761,0.0001117,12.46,0.6,0.3,5.512e-16,0.5324,0.0,-4.8e-16
9.000000000000001e-08,1e-06,1.74e-05,1.603e-05,29040000000.0,0.05874,0.0002069,12.9,0.6,0.3,1.134e-15,0.5413,0.0,-9.839e-16
9.000000000000001e-08,1.2000000000000002e-07,7.11e-06,7.769e-06,57770000000.0,0.1996,5.551e-05,7.145,0.7,0.3,1.529e-16,0.5004,0.0,-1.342e-16
9.000000000000001e-08,2.4000000000000003e-07,1.317e-05,1.404e-05,56250000000.0,0.1817,0.000107,7.62,0.7,0.3,3.027e-16,0.5183,0.0,-2.7e-16
9.000000000000001e-08,4.800000000000001e-07,2.345e-05,2.475e-05,53030000000.0,0.1676,0.0001999,8.079,0.7,0.3,6e-16,0.5324,0.0,-5.381e-16
9.000000000000001e-08,1e-06,4.39e-05,4.611e-05,49750000000.0,0.1587,0.0003883,8.422,0.7,0.3,1.242e-15,0.5413,0.0,-1.112e-15
9.000000000000001e-08,1.2000000000000002e-07,1.4e-05,1.392e-05,66350000000.0,0.2996,6.581e-05,4.727,0.8,0.3,1.579e-16,0.5004,0.0,-1.392e-16
9.000000000000001e-08,2.4000000000000003e-07,2.566e-05,2.607e-05,65880000000.0,0.2817,0.0001299,4.982,0.8,0.3,3.138e-16,0.5183,0.0,-2.821e-16
9.000000000000001e-08,4.800000000000001e-07,4.597e-05,4.76e-05,63650000000.0,0.2676,0.0002497,5.246,0.8,0.3,6.244e-16,0.5324,0.0,-5.655e-16
9.000000000000001e-08,1e-06,8.681e-05,9.109e-05,60930000000.0,0.2587,0.0004962,5.447,0.8,0.3,1.296e-15,0.5413,0.0,-1.173e-15
9.000000000000001e-08,1.2000000000000002e-07,2.674e-05,2.06e-05,65710000000.0,0.3995,6.643e-05,3.224,0.9,0.3,1.609e-16,0.5005,0.0,-1.412e-16
9.000000000000001e-08,2.4000000000000003e-07,4.861e-05,3.933e-05,65770000000.0,0.3816,0.0001324,3.365,0.9,0.3,3.203e-16,0.5184,0.0,-2.873e-16
9.000000000000001e-08,4.800000000000001e-07,8.72e-05,7.33e-05,64350000000.0,0.3675,0.000258,3.52,0.9,0.3,6.382e-16,0.5325,0.0,-5.776e-16
9.000000000000001e-08,1e-06,0.0001656,0.0001425,62130000000.0,0.3587,0.0005177,3.634,0.9,0.3,1.326e-15,0.5413,0.0,-1.2e-15
9.000000000000001e-08,1.2000000000000002e-07,4.406e-05,2.702e-05,59760000000.0,0.4995,6.14e-05,2.272,1.0,0.3,1.635e-16,0.5005,0.0,-1.412e-16
9.000000000000001e-08,2.4000000000000003e-07,8.212e-05,5.21e-05,59540000000.0,0.4816,0.0001218,2.337,1.0,0.3,3.255e-16,0.5184,0.0,-2.882e-16
9.000000000000001e-08,4.800000000000001e-07,0.0001509,9.824e-05,58400000000.0,0.4675,0.000238,2.423,1.0,0.3,6.487e-16,0.5325,0.0,-5.807e-16
9.000000000000001e-08,1e-06,0.0002915,0.0001925,56340000000.0,0.4586,0.0004774,2.479,1.0,0.3,1.349e-15,0.5414,0.0,-1.207e-15
