Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
12,695Project_gmID_TB_1,"OP(""/NM0"" ""cgg"")",506.6e-18,,,
12,695Project_gmID_TB_1,"OP(""/NM0"" ""vth"")",549.4e-3,,,
12,695Project_gmID_TB_1,"OP(""/NM0"" ""vbs"")",0,,,
12,695Project_gmID_TB_1,"OP(""/NM0"" ""cgs"")",-220.4e-18,,,
12,695Project_gmID_TB_1,"(OP(""/NM0"" ""gm"") / OP(""/NM0"" ""gds""))",9.595,,,
12,695Project_gmID_TB_1,"(OP(""/NM0"" ""id"") / VAR(""width""))",24.57e-3,,,
"Parameters: length=90n, Vd=100m, Vg=400m, width=120n",,,,,,
13,695Project_gmID_TB_1,"OP(""/NM0"" ""gds"")",247.9e-9,,,
13,695Project_gmID_TB_1,"OP(""/NM0"" ""id"")",96.91e-9,,,
13,695Project_gmID_TB_1,"OP(""/NM0"" ""fug"")",3.405e9,,,
13,695Project_gmID_TB_1,"OP(""/NM0"" ""vgt"")",-108.3e-3,,,
13,695Project_gmID_TB_1,"OP(""/NM0"" ""gm"")",1.994e-6,,,
13,695Project_gmID_TB_1,"OP(""/NM0"" ""gmoverid"")",20.58,,,
13,695Project_gmID_TB_1,"OP(""/NM0"" ""vgs"")",400e-3,,,
13,695Project_gmID_TB_1,"OP(""/NM0"" ""vds"")",100e-3,,,
13,695Project_gmID_TB_1,"OP(""/NM0"" ""cgg"")",93.19e-18,,,
13,695Project_gmID_TB_1,"OP(""/NM0"" ""vth"")",508.3e-3,,,
13,695Project_gmID_TB_1,"OP(""/NM0"" ""vbs"")",0,,,
13,695Project_gmID_TB_1,"OP(""/NM0"" ""cgs"")",-65.01e-18,,,
13,695Project_gmID_TB_1,"(OP(""/NM0"" ""gm"") / OP(""/NM0"" ""gds""))",8.044,,,
13,695Project_gmID_TB_1,"(OP(""/NM0"" ""id"") / VAR(""width""))",807.6e-3,,,
"Parameters: length=90n, Vd=100m, Vg=400m, width=240n",,,,,,
14,695Project_gmID_TB_1,"OP(""/NM0"" ""gds"")",369.1e-9,,,
14,695Project_gmID_TB_1,"OP(""/NM0"" ""id"")",139.2e-9,,,
14,695Project_gmID_TB_1,"OP(""/NM0"" ""fug"")",2.738e9,,,
14,695Project_gmID_TB_1,"OP(""/NM0"" ""vgt"")",-126.4e-3,,,
14,695Project_gmID_TB_1,"OP(""/NM0"" ""gm"")",3.005e-6,,,
14,695Project_gmID_TB_1,"OP(""/NM0"" ""gmoverid"")",21.59,,,
14,695Project_gmID_TB_1,"OP(""/NM0"" ""vgs"")",400e-3,,,
14,695Project_gmID_TB_1,"OP(""/NM0"" ""vds"")",100e-3,,,
14,695Project_gmID_TB_1,"OP(""/NM0"" ""cgg"")",174.7e-18,,,
14,695Project_gmID_TB_1,"OP(""/NM0"" ""vth"")",526.4e-3,,,
14,695Project_gmID_TB_1,"OP(""/NM0"" ""vbs"")",0,,,
14,695Project_gmID_TB_1,"OP(""/NM0"" ""cgs"")",-118.1e-18,,,
14,695Project_gmID_TB_1,"(OP(""/NM0"" ""gm"") / OP(""/NM0"" ""gds""))",8.142,,,
14,695Project_gmID_TB_1,"(OP(""/NM0"" ""id"") / VAR(""width""))",579.9e-3,,,
"Parameters: length=90n, Vd=100m, Vg=400m, width=480n",,,,,,
15,695Project_gmID_TB_1,"OP(""/NM0"" ""gds"")",554.9e-9,,,
15,695Project_gmID_TB_1,"OP(""/NM0"" ""id"")",205.7e-9,,,
15,695Project_gmID_TB_1,"OP(""/NM0"" ""fug"")",2.2e9,,,
15,695Project_gmID_TB_1,"OP(""/NM0"" ""vgt"")",-140.5e-3,,,
15,695Project_gmID_TB_1,"OP(""/NM0"" ""gm"")",4.588e-6,,,
15,695Project_gmID_TB_1,"OP(""/NM0"" ""gmoverid"")",22.31,,,
15,695Project_gmID_TB_1,"OP(""/NM0"" ""vgs"")",400e-3,,,
15,695Project_gmID_TB_1,"OP(""/NM0"" ""vds"")",100e-3,,,
15,695Project_gmID_TB_1,"OP(""/NM0"" ""cgg"")",332e-18,,,
15,695Project_gmID_TB_1,"OP(""/NM0"" ""vth"")",540.5e-3,,,
15,695Project_gmID_TB_1,"OP(""/NM0"" ""vbs"")",0,,,
15,695Project_gmID_TB_1,"OP(""/NM0"" ""cgs"")",-216.4e-18,,,
15,695Project_gmID_TB_1,"(OP(""/NM0"" ""gm"") / OP(""/NM0"" ""gds""))",8.268,,,
15,695Project_gmID_TB_1,"(OP(""/NM0"" ""id"") / VAR(""width""))",428.5e-3,,,
"Parameters: length=90n, Vd=100m, Vg=400m, width=1u",,,,,,
16,695Project_gmID_TB_1,"OP(""/NM0"" ""gds"")",917.1e-9,,,
16,695Project_gmID_TB_1,"OP(""/NM0"" ""id"")",336e-9,,,
16,695Project_gmID_TB_1,"OP(""/NM0"" ""fug"")",1.828e9,,,
16,695Project_gmID_TB_1,"OP(""/NM0"" ""vgt"")",-149.4e-3,,,
16,695Project_gmID_TB_1,"OP(""/NM0"" ""gm"")",7.696e-6,,,
16,695Project_gmID_TB_1,"OP(""/NM0"" ""gmoverid"")",22.9,,,
16,695Project_gmID_TB_1,"OP(""/NM0"" ""vgs"")",400e-3,,,
16,695Project_gmID_TB_1,"OP(""/NM0"" ""vds"")",100e-3,,,
16,695Project_gmID_TB_1,"OP(""/NM0"" ""cgg"")",669.9e-18,,,
16,695Project_gmID_TB_1,"OP(""/NM0"" ""vth"")",549.4e-3,,,
16,695Project_gmID_TB_1,"OP(""/NM0"" ""vbs"")",0,,,
16,695Project_gmID_TB_1,"OP(""/NM0"" ""cgs"")",-425.2e-18,,,
16,695Project_gmID_TB_1,"(OP(""/NM0"" ""gm"") / OP(""/NM0"" ""gds""))",8.392,,,
16,695Project_gmID_TB_1,"(OP(""/NM0"" ""id"") / VAR(""width""))",336e-3,,,
"Parameters: length=90n, Vd=100m, Vg=500m, width=120n",,,,,,
17,695Project_gmID_TB_1,"OP(""/NM0"" ""gds"")",1.778e-6,,,
17,695Project_gmID_TB_1,"OP(""/NM0"" ""id"")",597.1e-9,,,
17,695Project_gmID_TB_1,"OP(""/NM0"" ""fug"")",12.18e9,,,
17,695Project_gmID_TB_1,"OP(""/NM0"" ""vgt"")",-8.347e-3,,,
17,695Project_gmID_TB_1,"OP(""/NM0"" ""gm"")",9.482e-6,,,
17,695Project_gmID_TB_1,"OP(""/NM0"" ""gmoverid"")",15.88,,,
17,695Project_gmID_TB_1,"OP(""/NM0"" ""vgs"")",500e-3,,,
17,695Project_gmID_TB_1,"OP(""/NM0"" ""vds"")",100e-3,,,
17,695Project_gmID_TB_1,"OP(""/NM0"" ""cgg"")",123.9e-18,,,
17,695Project_gmID_TB_1,"OP(""/NM0"" ""vth"")",508.3e-3,,,
17,695Project_gmID_TB_1,"OP(""/NM0"" ""vbs"")",0,,,
17,695Project_gmID_TB_1,"OP(""/NM0"" ""cgs"")",-99.52e-18,,,
